Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,2288.0,18.0,179.0,2288.0,0.1,151.02700000000013,0.0,0.0,195.398286819458,,,,,,,,,,,,,,,,,,,,,61.82773497884445,45.65375077414261,140.24017554971073,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,2519.0,19.0,231.0,2519.0,0.1,220.01000000000005,0.0,0.0,218.32236337661743,,,,,,,,,,,,,,,,,,,,,98.82006941389758,59.770530019206454,197.57752143072994,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,2713.0,20.0,194.0,2713.0,0.1,184.00900000000004,0.0,0.0,237.6873757839203,,,,,,,,,,,,,,,,,,,,,83.48912199818785,51.02440913018636,168.14823866143595,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,281.0,1.0,281.0,2994.0,0.1,270.00999999999976,0.0,0.0,728.2284438610077,,,,,,,,,,,,,,,,,,,,,120.11389153048295,71.09180168466733,236.73122219309855,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,474.0,2.0,193.0,3187.0,0.1,167.02500000000012,0.0,0.0,747.171409368515,,,,,,,,,,,,,,,,,,,,,69.64061272106163,49.54144823663071,153.89199183651638,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,567.0,3.0,93.0,3280.0,0.1,84.00800000000004,0.0,0.0,756.4956555366516,,,,,,,,,,,,,,,,,,,,,38.21972468551636,25.34166225151736,80.61471441836932,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,808.0,4.0,241.0,3521.0,0.1,232.00800000000004,0.0,0.0,780.6836726665497,,,,,,,,,,,,,,,,,,,,,104.85419988375159,62.076461355959864,207.1522351460731,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,1086.0,5.0,278.0,3799.0,0.1,268.0089999999998,0.0,0.0,807.4250524044037,,,,,,,,,,,,,,,,,,,,,119.70336057987254,70.41349268636476,235.20163382481147,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,1175.0,6.0,89.0,3888.0,0.1,79.00900000000004,0.0,0.0,815.881094455719,,,,,,,,,,,,,,,,,,,,,35.461260145116384,24.150258597712046,76.00488160541389,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,1256.0,7.0,81.0,3969.0,0.1,72.00800000000004,0.0,0.0,824.2117147445679,,,,,,,,,,,,,,,,,,,,,32.55441422373489,22.076349080024073,69.51004302388222,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,1359.0,8.0,103.0,4072.0,0.1,92.01000000000005,0.0,0.0,834.4744656085968,,,,,,,,,,,,,,,,,,,,,41.1639792846501,27.83052241668997,87.94591401579865,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,1440.0,9.0,81.0,4153.0,0.1,72.00800000000004,0.0,0.0,842.322197675705,,,,,,,,,,,,,,,,,,,,,32.55441422373489,22.076349080024073,69.51004302388222,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,1545.0,10.0,105.0,4258.0,0.1,95.00900000000004,0.0,0.0,852.3601536750793,,,,,,,,,,,,,,,,,,,,,42.969774820064224,28.46750119753785,90.67843984514371,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,1607.0,11.0,62.0,4320.0,0.1,51.00999999999998,0.0,0.0,858.3319933414459,,,,,,,,,,,,,,,,,,,,,22.61561097235636,15.728455541768932,49.70719680612936,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,1725.0,12.0,118.0,4438.0,0.1,110.00700000000003,0.0,0.0,869.7495365142822,,,,,,,,,,,,,,,,,,,,,50.795930563082045,32.04344812603819,104.22141880975707,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,1820.0,13.0,95.0,4533.0,0.1,85.00900000000004,0.0,0.0,878.9131865501404,,,,,,,,,,,,,,,,,,,,,38.28397506995585,25.78035391951454,81.53501085505347,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,1894.0,14.0,74.0,4607.0,0.1,67.00600000000003,0.0,0.0,886.2295007705688,,,,,,,,,,,,,,,,,,,,,30.99829182841335,20.365189028042387,64.84174505305847,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,2047.0,15.0,153.0,4760.0,0.1,142.01000000000005,0.0,0.0,901.2537527084351,,,,,,,,,,,,,,,,,,,,,64.22055816754762,40.861942455987,132.44902019172855,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,2240.0,16.0,193.0,4953.0,0.1,174.018,0.0,0.0,920.2072288990021,,,,,,,,,,,,,,,,,,,,,81.055116819518,46.75336321543936,158.6915869361185,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,2307.0,17.0,67.0,5020.0,0.1,50.01599999999996,0.0,0.0,926.7366242408752,,,,,,,,,,,,,,,,,,,,,19.464069644605704,16.576728643865543,48.80947747929253,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,2363.0,18.0,56.0,5076.0,0.1,44.010999999999974,0.0,0.0,932.4058821201324,,,,,,,,,,,,,,,,,,,,,18.205874510623467,14.484717974564742,43.07758311605408,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
